team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
crd,det,rav,car,sea,cin,atl,nyg,nor,sfo,tam,sfo,bye,ram,pit,cle,sea,ram
atl,min,phi,clt,oti,htx,crd,ram,sea,bye,nor,car,tam,nor,car,sfo,jax,tam
rav,mia,crd,kan,cle,pit,cin,sea,bye,nwe,cin,htx,ram,sfo,buf,nyj,cle,pit
buf,nyj,nyg,cin,nwe,oti,bye,mia,phi,was,cle,mia,den,dal,rav,pit,nwe,nyj
car,ram,tam,crd,htx,jax,tam,bye,sfo,oti,gnb,atl,nor,was,atl,sea,clt,nor
chi,gnb,den,was,min,rai,bye,nor,sdg,phi,det,ram,nyg,det,dal,gnb,kan,min
cin,sea,sfo,buf,pit,crd,rav,jax,ram,bye,rav,rai,pit,nyj,cle,nwe,mia,cle
cle,oti,nyj,ram,rav,sfo,sea,bye,nwe,den,buf,pit,mia,pit,cin,crd,rav,cin
dal,nyg,was,mia,nor,gnb,nyj,phi,bye,nyg,min,det,nwe,buf,chi,ram,phi,was
den,rai,chi,gnb,jax,sdg,oti,kan,clt,cle,bye,min,buf,sdg,htx,kan,det,rai
det,crd,sdg,phi,kan,bye,gnb,min,nyg,rai,chi,dal,was,chi,min,tam,den,gnb
gnb,chi,min,den,phi,dal,det,rai,kan,sdg,car,bye,sfo,nyg,was,chi,min,det
htx,nor,jax,sdg,car,atl,kan,clt,rai,jax,bye,rav,clt,nwe,den,oti,tam,oti
clt,sdg,oti,atl,rai,kan,bye,htx,den,pit,mia,jax,htx,oti,tam,nor,car,jax
jax,kan,htx,oti,den,car,nor,cin,nyj,htx,bye,clt,oti,tam,sdg,rai,atl,clt
kan,jax,rai,rav,det,clt,htx,den,gnb,min,oti,sdg,bye,rai,nwe,den,chi,sdg
ram,car,nor,cle,tam,sea,sfo,atl,cin,bye,pit,chi,rav,crd,sea,dal,sfo,crd
sdg,clt,det,htx,mia,den,pit,oti,chi,gnb,rai,kan,bye,den,jax,min,rai,kan
mia,rav,nwe,dal,sdg,bye,was,buf,pit,nyj,clt,buf,cle,phi,nyj,nyg,cin,nwe
min,atl,gnb,rai,chi,nyg,phi,det,was,kan,dal,den,bye,sea,det,sdg,gnb,chi
nwe,pit,mia,nyj,buf,was,nyg,nyj,cle,rav,bye,phi,dal,htx,kan,cin,buf,mia
nor,htx,ram,sea,dal,tam,jax,chi,crd,bye,atl,tam,car,atl,sfo,clt,oti,car
nyg,dal,buf,tam,was,min,nwe,crd,det,dal,nyj,bye,chi,gnb,phi,mia,was,phi
nyj,buf,cle,nwe,bye,phi,dal,nwe,jax,mia,nyg,was,rai,cin,mia,rav,pit,buf
rai,den,kan,min,clt,chi,bye,gnb,htx,det,sdg,cin,nyj,kan,oti,jax,sdg,den
phi,was,atl,det,gnb,nyj,min,dal,buf,chi,bye,nwe,sea,mia,nyg,was,dal,nyg
pit,nwe,sea,sfo,cin,rav,sdg,bye,mia,clt,ram,cle,cin,cle,crd,buf,nyj,rav
sfo,tam,cin,pit,bye,cle,ram,was,car,crd,sea,crd,gnb,rav,nor,atl,ram,sea
sea,cin,pit,nor,crd,ram,cle,rav,atl,tam,sfo,bye,phi,min,ram,car,crd,sfo
tam,sfo,car,nyg,ram,nor,car,bye,oti,sea,crd,nor,atl,jax,clt,det,htx,atl
oti,cle,clt,jax,atl,buf,den,sdg,tam,car,kan,bye,jax,clt,rai,htx,nor,htx
was,phi,dal,chi,nyg,nwe,mia,sfo,min,buf,bye,nyj,det,car,gnb,phi,nyg,dal
